state,city,business_name,address,product_codes,is_malt_house,is_new_listing,canvas_fragment,image
New York,NEW YORK CITY,Roessler & Hasslacher Chemical Co.,100 William St.,,False,False,"https://iiif.nypl.org/iiif/3/5133828/full/!760,760/0/default.jpg#xywh=278,1986,1506,50",0005_5133828.jpg
Massachusetts,BOSTON,Charles P. Duffee,45 Kilby St.,,False,False,"https://iiif.nypl.org/iiif/3/5133828/full/!760,760/0/default.jpg#xywh=310,2082,1058,50",0005_5133828.jpg
Rhode Island,PROVIDENCE,Rhode Island Warehouse Co.,,,False,False,"https://iiif.nypl.org/iiif/3/5133828/full/!760,760/0/default.jpg#xywh=336,2122,1086,60",0005_5133828.jpg
New York,BUFFALO,Keystone Warehouse Co.,Seneca St.,,False,False,"https://iiif.nypl.org/iiif/3/5133828/full/!760,760/0/default.jpg#xywh=352,2172,1224,56",0005_5133828.jpg
Pennsylvania,PITTSBURG,"Pa. Trans. Co., Ltd.",Duquesne Fr. Sta.,,False,False,"https://iiif.nypl.org/iiif/3/5133828/full/!760,760/0/default.jpg#xywh=386,2220,1392,60",0005_5133828.jpg
Maryland,BALTIMORE,Balt. Chrome Works,301 N. Charles St.,,False,False,"https://iiif.nypl.org/iiif/3/5133828/full/!760,760/0/default.jpg#xywh=402,2268,1376,58",0005_5133828.jpg
District of Columbia,WASHINGTON,"Littlefield, Alvord & Co.","26th & D Sts,, N. W.",,False,False,"https://iiif.nypl.org/iiif/3/5133828/full/!760,760/0/default.jpg#xywh=416,2312,1362,62",0005_5133828.jpg
Virginia,NORFOLK,The Nottingham & Wrenn Co.,,,False,False,"https://iiif.nypl.org/iiif/3/5133828/full/!760,760/0/default.jpg#xywh=466,2408,1080,54",0005_5133828.jpg
Georgia,ATLANTA,Southern Pow. Sup. Co.,Century Bldg.,,False,False,"https://iiif.nypl.org/iiif/3/5133828/full/!760,760/0/default.jpg#xywh=492,2456,1282,58",0005_5133828.jpg
Georgia,SAVANNAH,Benton Transfer Co.,,,False,False,"https://iiif.nypl.org/iiif/3/5133828/full/!760,760/0/default.jpg#xywh=522,2506,870,50",0005_5133828.jpg
Florida,JACKSONVILLE,S. E. W. Acosta,Atlantic Coast Line Ave.,,False,False,"https://iiif.nypl.org/iiif/3/5133828/full/!760,760/0/default.jpg#xywh=268,2548,1504,62",0005_5133828.jpg
Louisiana,NEW ORLEANS,"Finlay, Dicks & Co.",Magazine & Common Sts.,,False,False,"https://iiif.nypl.org/iiif/3/5133828/full/!760,760/0/default.jpg#xywh=298,2598,1474,56",0005_5133828.jpg
Ohio,CLEVELAND,The Cleveland Storage Co.,,,False,False,"https://iiif.nypl.org/iiif/3/5133828/full/!760,760/0/default.jpg#xywh=324,2644,1020,54",0005_5133828.jpg
Ohio,CINCINNATI,McHugh's Express,220 West Third St.,,False,False,"https://iiif.nypl.org/iiif/3/5133828/full/!760,760/0/default.jpg#xywh=354,2690,1360,60",0005_5133828.jpg
Illinois,CHICAGO,F. C. Schapper,16 N. Clark St.,,False,False,"https://iiif.nypl.org/iiif/3/5133828/full/!760,760/0/default.jpg#xywh=382,2744,1092,48",0005_5133828.jpg
Wisconsin,MILWAUKEE,Central Warehouse,136 W. Water St.,,False,False,"https://iiif.nypl.org/iiif/3/5133828/full/!760,760/0/default.jpg#xywh=404,2788,1368,52",0005_5133828.jpg
Indiana,INDIANAPOLIS,Central Transfer & Storage Co.,,,False,False,"https://iiif.nypl.org/iiif/3/5133828/full/!760,760/0/default.jpg#xywh=436,2836,1224,52",0005_5133828.jpg
Kentucky,LOUISVILLE,Louisville Public Warehouse Co.,,,False,False,"https://iiif.nypl.org/iiif/3/5133828/full/!760,760/0/default.jpg#xywh=456,2884,1200,52",0005_5133828.jpg
International,LIVERPOOL,P. R. McQuie & Son,,,False,False,"https://iiif.nypl.org/iiif/3/5133828/full/!760,760/0/default.jpg#xywh=494,2936,892,44",0005_5133828.jpg
