state,city,business_name,address,product_codes,is_malt_house,is_new_listing,canvas_fragment,image
ALABAMA,Birmingham,Alabama Brewing Co.,22d st. and ave. D,L B,False,False,"https://iiif.nypl.org/iiif/3/5131976/full/!760,760/0/default.jpg#xywh=388,2614,1444,52",0009_5131976.jpg
ALABAMA,Birmingham,"Schillinger, Phil., Brewing Co",,L B,False,False,"https://iiif.nypl.org/iiif/3/5131976/full/!760,760/0/default.jpg#xywh=526,2708,46,30",0009_5131976.jpg
ALABAMA,Mobile,Bienville Brewery,St. Joseph and Bloodgood sts,LB,False,False,"https://iiif.nypl.org/iiif/3/5131976/full/!760,760/0/default.jpg#xywh=392,2756,1450,52",0009_5131976.jpg
ALABAMA,Mobile,Mobile Brewery,Adams and Water sts,L B,False,False,"https://iiif.nypl.org/iiif/3/5131976/full/!760,760/0/default.jpg#xywh=566,2844,1280,60",0009_5131976.jpg
ALABAMA,Montgomery,"Montgomery Brewery (A. B. Meyer, Trustee)",Hull st,LB,False,False,"https://iiif.nypl.org/iiif/3/5131976/full/!760,760/0/default.jpg#xywh=954,2988,986,54",0009_5131976.jpg
ALASKA,Douglas City,Douglas City Brewing Co,,L B,False,False,"https://iiif.nypl.org/iiif/3/5131977/full/!760,760/0/default.jpg#xywh=512,392,1519,57",0010_5131977.jpg
ALASKA,Dyea,"Rice, Geo. L., & Co",,L,False,False,"https://iiif.nypl.org/iiif/3/5131977/full/!760,760/0/default.jpg#xywh=514,445,1519,49",0010_5131977.jpg
ALASKA,Fort Wrangel,"Bretter, August",,L,False,False,"https://iiif.nypl.org/iiif/3/5131977/full/!760,760/0/default.jpg#xywh=510,488,1523,51",0010_5131977.jpg
ALASKA,Fort Wrangel,"Greif, Bruno",,L,False,False,"https://iiif.nypl.org/iiif/3/5131977/full/!760,760/0/default.jpg#xywh=2275,579,77,29",0010_5131977.jpg
ALASKA,Juneau,Alaska Brewing & Malting Co.,,L,True,False,"https://iiif.nypl.org/iiif/3/5131977/full/!760,760/0/default.jpg#xywh=506,527,1529,115",0010_5131977.jpg
ALASKA,Juneau,"Cohen, Marcus J",,L,False,False,"https://iiif.nypl.org/iiif/3/5131977/full/!760,760/0/default.jpg#xywh=571,628,1460,47",0010_5131977.jpg
ALASKA,Skagua,"Barthel, Herman",,L,False,False,"https://iiif.nypl.org/iiif/3/5131977/full/!760,760/0/default.jpg#xywh=512,673,1521,51",0010_5131977.jpg
ALASKA,Valdez,Valdez Brewing Co.,,L,False,False,"https://iiif.nypl.org/iiif/3/5131977/full/!760,760/0/default.jpg#xywh=514,718,1523,51",0010_5131977.jpg
ARIZONA,Fort Huachuca,"Joerger, Frank",,L,False,False,"https://iiif.nypl.org/iiif/3/5131977/full/!760,760/0/default.jpg#xywh=512,850,1523,108",0010_5131977.jpg
ARIZONA,Globe,"Banker, Chas.",,L B,True,False,"https://iiif.nypl.org/iiif/3/5131977/full/!760,760/0/default.jpg",0010_5131977.jpg
