section,subsection,city,firm_name,address,codes,is_new_firm,canvas_fragment,image
Breweries,Alabama,Birmingham,"Schillinger, Philip Br'g Co.",,L B-D 5,False,"https://iiif.nypl.org/iiif/3/5142941/full/!760,760/0/default.jpg#xywh=236,2329,1806,68",0017_5142941.jpg
Breweries,Alabama,Mobile,Mobile Brewery,,L B-D 2,False,"https://iiif.nypl.org/iiif/3/5142941/full/!760,760/0/default.jpg#xywh=238,2408,1806,66",0017_5142941.jpg
Breweries,Alabama,Montgomery,"Montgomery Brewing Co., Spencer C. Marks, Receiver",,L B-D 6,False,"https://iiif.nypl.org/iiif/3/5142941/full/!760,760/0/default.jpg#xywh=240,2488,1517,60",0017_5142941.jpg
Breweries,Alabama,Phoenix City,"Chattahoochee Brewing Co. (office Columbus, Ga)",,L B-D 10,False,"https://iiif.nypl.org/iiif/3/5142941/full/!760,760/0/default.jpg#xywh=240,2644,1524,61",0017_5142941.jpg
Breweries,Alaska,Douglas City,"Kruzner, John",,L-E 6,False,"https://iiif.nypl.org/iiif/3/5142941/full/!760,760/0/default.jpg#xywh=238,2894,1808,65",0017_5142941.jpg
Breweries,Alaska,Fort Wrangel,"Uhler, Henry",,L-E 6,False,"https://iiif.nypl.org/iiif/3/5142941/full/!760,760/0/default.jpg#xywh=238,2971,1808,70",0017_5142941.jpg
Breweries,Alaska,Juneau,"Cohen, Marcus J",,L-E 6,False,"https://iiif.nypl.org/iiif/3/5142941/full/!760,760/0/default.jpg#xywh=240,3045,1806,77",0017_5142941.jpg
Breweries,Alaska,Juneau,Gray John F. & Co,,L-E 6,False,"https://iiif.nypl.org/iiif/3/5142941/full/!760,760/0/default.jpg#xywh=9,3220,115,40",0017_5142941.jpg
Breweries,Alaska,Sitka,"Witz, Robert",,L-E 6,False,"https://iiif.nypl.org/iiif/3/5142941/full/!760,760/0/default.jpg#xywh=245,3211,1801,61",0017_5142941.jpg
Breweries,Arizona,Fort Huachuca,"Joerger, Andreas",,L-E 6,False,"https://iiif.nypl.org/iiif/3/5142941/full/!760,760/0/default.jpg#xywh=238,3384,1818,63",0017_5142941.jpg
Breweries,Arizona,Globe,"Banker, Charles",,LM B-E 6,False,"https://iiif.nypl.org/iiif/3/5142941/full/!760,760/0/default.jpg#xywh=245,3463,1811,61",0017_5142941.jpg
Breweries,California,Alameda,"Schuler, Lorenz L",,PL B-E 2,False,"https://iiif.nypl.org/iiif/3/5142941/full/!760,760/0/default.jpg#xywh=245,3655,1808,58",0017_5142941.jpg
Breweries,California,Altaville (Calaveras Co.),"Becker, William",,L-E 6,False,"https://iiif.nypl.org/iiif/3/5142941/full/!760,760/0/default.jpg#xywh=243,3732,1813,60",0017_5142941.jpg
Breweries,California,Alturas,"Bogner, Fred",,B-E 4,False,"https://iiif.nypl.org/iiif/3/5142941/full/!760,760/0/default.jpg#xywh=243,3804,1813,75",0017_5142941.jpg
Breweries,California,Alturas,Joseph Dannhauser,,L-E 6,True,"https://iiif.nypl.org/iiif/3/5142941/full/!760,760/0/default.jpg#xywh=336,3890,49,38",0017_5142941.jpg
Breweries,California,Anaheim,"Conrad, Fred",,L-E 4,False,"https://iiif.nypl.org/iiif/3/5142941/full/!760,760/0/default.jpg#xywh=245,3967,1806,61",0017_5142941.jpg
Breweries,California,Angels Camp,"Hubler, Ernst F",,LPB-E 6,False,"https://iiif.nypl.org/iiif/3/5142941/full/!760,760/0/default.jpg#xywh=245,4042,1811,68",0017_5142941.jpg
Breweries,California,Auburn,"Weber, Julius",,L-E 5,False,"https://iiif.nypl.org/iiif/3/5142942/full/!760,760/0/default.jpg#xywh=819,691,1794,60",0018_5142942.jpg
Breweries,California,Benecia,"Gnauck, Gustav",,L P M B-E 4,False,"https://iiif.nypl.org/iiif/3/5142942/full/!760,760/0/default.jpg#xywh=814,768,1797,58",0018_5142942.jpg
Breweries,California,Bishop Creek,"Munzinger, L. & C",,L M B-E 6,False,"https://iiif.nypl.org/iiif/3/5142942/full/!760,760/0/default.jpg#xywh=817,849,1796,59",0018_5142942.jpg
Breweries,California,Bodie,"Carian, Nicholas",,L-E 6,False,"https://iiif.nypl.org/iiif/3/5142942/full/!760,760/0/default.jpg#xywh=817,926,1794,61",0018_5142942.jpg
Breweries,California,Cherokee,"Bader, Elizabeth",,L-E 6,False,"https://iiif.nypl.org/iiif/3/5142942/full/!760,760/0/default.jpg#xywh=814,1001,1799,65",0018_5142942.jpg
Breweries,California,Chico,"Popp, Michael",,L B-E 5,False,"https://iiif.nypl.org/iiif/3/5142942/full/!760,760/0/default.jpg#xywh=817,1083,1794,60",0018_5142942.jpg
Breweries,California,Cloverdale,"Reger, Vitol",,L-E 6,False,"https://iiif.nypl.org/iiif/3/5142942/full/!760,760/0/default.jpg#xywh=817,1162,1796,61",0018_5142942.jpg
Breweries,California,Columbia,"Nelson, O. C",,P L-E 6,False,"https://iiif.nypl.org/iiif/3/5142942/full/!760,760/0/default.jpg#xywh=817,1239,1796,61",0018_5142942.jpg
Breweries,California,Columbia,"Inderries, Chas",,L-E 6,True,"https://iiif.nypl.org/iiif/3/5142942/full/!760,760/0/default.jpg#xywh=1104,1319,1507,60",0018_5142942.jpg
Breweries,California,Columbia,"Bauer, Albert",,L-E 6,False,"https://iiif.nypl.org/iiif/3/5142942/full/!760,760/0/default.jpg#xywh=1104,1398,1507,58",0018_5142942.jpg
Breweries,California,Crescent City,"Hess, Gottlieb, suc. to Crusius, Frank",,L-E 6,False,"https://iiif.nypl.org/iiif/3/5142942/full/!760,760/0/default.jpg#xywh=810,1473,1607,60",0018_5142942.jpg
Breweries,California,Dixon,Schomer & Oberholzer,,L-E 6,False,"https://iiif.nypl.org/iiif/3/5142942/full/!760,760/0/default.jpg#xywh=805,1629,1799,58",0018_5142942.jpg
Breweries,California,Downieville,"Bosch, F",,L-E 6,False,"https://iiif.nypl.org/iiif/3/5142942/full/!760,760/0/default.jpg#xywh=805,1708,1799,61",0018_5142942.jpg
Breweries,California,Etna Mills,"Kappler, Chas",,L M-E 5,False,"https://iiif.nypl.org/iiif/3/5142942/full/!760,760/0/default.jpg#xywh=807,1790,1799,61",0018_5142942.jpg
Breweries,California,Eureka,"Haltinner, John U",,L-E 4,False,"https://iiif.nypl.org/iiif/3/5142942/full/!760,760/0/default.jpg#xywh=805,1862,1801,70",0018_5142942.jpg
Breweries,California,Eureka,Rooney & Degnau,,L-E 6,False,"https://iiif.nypl.org/iiif/3/5142942/full/!760,760/0/default.jpg#xywh=1041,1949,1565,60",0018_5142942.jpg
Breweries,California,Forest Hill,"Beckstrum, F. A",,L M-E 6,False,"https://iiif.nypl.org/iiif/3/5142942/full/!760,760/0/default.jpg#xywh=805,2028,1801,61",0018_5142942.jpg
Breweries,California,Fort Bidwell,"Fulcher, Max",,A P L M B-E 6,False,"https://iiif.nypl.org/iiif/3/5142942/full/!760,760/0/default.jpg#xywh=805,2107,1801,59",0018_5142942.jpg
