state,city,business_name,address,product_codes,is_malt_house,is_new_listing,canvas_fragment,image
ALABAMA,Mobile,Mobile Brewery,Adams and Water sts,L B,False,False,"https://iiif.nypl.org/iiif/3/5131462/full/!760,760/0/default.jpg#xywh=172,2508,1466,68",0009_5131462.jpg
ALABAMA,Montgomery,Capital Brewing & Ice Co.,Hull st,L B,False,False,"https://iiif.nypl.org/iiif/3/5131462/full/!760,760/0/default.jpg#xywh=172,2554,1548,116",0009_5131462.jpg
ALASKA,Fairbanks,Barthel Brewing Co,,A L B,False,False,"https://iiif.nypl.org/iiif/3/5131462/full/!760,760/0/default.jpg#xywh=178,2736,1542,50",0009_5131462.jpg
ALASKA,Juneau,Eagle Brewing Co,,L,False,False,"https://iiif.nypl.org/iiif/3/5131462/full/!760,760/0/default.jpg",0009_5131462.jpg
ALASKA,Nome,Nome Brewing & Bottling Co,,L B,False,False,"https://iiif.nypl.org/iiif/3/5131462/full/!760,760/0/default.jpg",0009_5131462.jpg
ALASKA,Valdez,Valdez Brewing & Bottling Co,,L B,False,False,"https://iiif.nypl.org/iiif/3/5131462/full/!760,760/0/default.jpg#xywh=166,2770,1556,166",0009_5131462.jpg
ARIZONA,Douglas,"Copper City Brewing Co., Inc",,L B,False,False,"https://iiif.nypl.org/iiif/3/5131462/full/!760,760/0/default.jpg#xywh=172,2996,1546,64",0009_5131462.jpg
ARIZONA,Globe,"Banker, Chas",,L B,True,False,"https://iiif.nypl.org/iiif/3/5131462/full/!760,760/0/default.jpg#xywh=172,3048,1550,54",0009_5131462.jpg
ARIZONA,Prescott,Arizona Brewing Co,,L B,False,False,"https://iiif.nypl.org/iiif/3/5131462/full/!760,760/0/default.jpg#xywh=170,3088,1552,60",0009_5131462.jpg
ARKANSAS,Little Rock,Little Rock Brewing & Ice Co.,2d and Byrd sts.,LB,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=666,522,1430,48",0010_5131463.jpg
CALIFORNIA,Alturas,"Werner, William F",,L,True,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=660,736,1518,44",0010_5131463.jpg
CALIFORNIA,Anaheim,"Union Brewing Co., Inc.",,LB,True,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=662,784,1516,54",0010_5131463.jpg
CALIFORNIA,Bakersfield,Bakersfield Brewing Co.,24th st. and Union ave.,LB,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=668,834,1440,60",0010_5131463.jpg
CALIFORNIA,Benicia,"Gnauck, Gustave",H street.,LB,True,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=666,900,1510,94",0010_5131463.jpg
CALIFORNIA,Downieville,"Woessner, John",,L,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=668,988,1508,50",0010_5131463.jpg
CALIFORNIA,Etna Mills,"Kappler, Chas",,LB,True,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=668,1042,1510,52",0010_5131463.jpg
CALIFORNIA,Eureka,Humboldt Brewing Co.,405 1st st.,LB,True,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=666,1092,1512,56",0010_5131463.jpg
CALIFORNIA,Fresno,"Fresno Brewing Co., Inc.",,LB,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=668,1152,1512,48",0010_5131463.jpg
CALIFORNIA,Grass Valley,"Binkelmann, D. J.",,L,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=666,1204,1508,48",0010_5131463.jpg
CALIFORNIA,Grass Valley,"Frank, Frederick",,L,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=794,1254,1382,58",0010_5131463.jpg
CALIFORNIA,Hollister,"Hollister Brew'y (A. Wahl, Prop.)",631 San Benito st.,LB,True,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=668,1310,1454,52",0010_5131463.jpg
CALIFORNIA,Jackson,"Strohm, John",Main st.,LB,True,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=664,1392,1512,74",0010_5131463.jpg
CALIFORNIA,Los Angeles,Los Angeles Brewing Co.,1920 East Main St,LB,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=668,1458,1426,54",0010_5131463.jpg
CALIFORNIA,Los Angeles,Maier Brewing Co.,444 Aliso st.,ALB,True,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=918,1512,1264,152",0010_5131463.jpg
CALIFORNIA,Los Angeles,Mathie Brewing Co.,1834 East Main st,LB,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=782,1598,86,30",0010_5131463.jpg
CALIFORNIA,Marysville,"Reissinger, Michel",,L,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=668,1692,1510,52",0010_5131463.jpg
CALIFORNIA,Mayfield,Mayfield Brewing Co.,,L,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=668,1738,1510,64",0010_5131463.jpg
CALIFORNIA,Middletown,"Schwartz, E. W",,LB,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=670,1798,1510,50",0010_5131463.jpg
CALIFORNIA,Napa,"Hoffmeier, William",1st st.,L,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=668,1844,1512,52",0010_5131463.jpg
CALIFORNIA,Nevada City,"Hieronimus, Simon C",,LB,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=670,1894,1510,50",0010_5131463.jpg
CALIFORNIA,Oakland,"Rausch, Joseph L.",Spring st,L,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=758,1934,1420,58",0010_5131463.jpg
CALIFORNIA,Oakland,Brooklyn Brewery,18th ave. and 14th st,ALB,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=666,1982,1418,58",0010_5131463.jpg
CALIFORNIA,Oakland,"Golden West Brewing Co., Inc.",5th and Kirkham sts,ALB,True,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=760,2070,1332,60",0010_5131463.jpg
CALIFORNIA,Oakland,Independent Brewing & Malting Co.,Claremont ave. and Clifton street.,LB,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=856,2140,1236,82",0010_5131463.jpg
CALIFORNIA,Oakland,Oakland Brewing & Malting Co.,26th and Chestnut streets,LB,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=852,2306,1242,50",0010_5131463.jpg
CALIFORNIA,Petaluma,"Greiss, Geo. J. (Administrator of Estate of George Greiss)",,L,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=1204,2402,888,48",0010_5131463.jpg
CALIFORNIA,Placerville,"Giebenhain, Frank",,L,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=674,2500,1512,44",0010_5131463.jpg
CALIFORNIA,Port Costa,Contra Costa Brewery,,LB,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=672,2540,1514,52",0010_5131463.jpg
CALIFORNIA,Quincy,"Werner, John C.",,L,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=668,2582,1516,108",0010_5131463.jpg
CALIFORNIA,Sacramento,Buffalo Brewing Co.,21st and Q streets,LB,True,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=962,2714,1142,68",0010_5131463.jpg
CALIFORNIA,Sacramento,Sacramento Brewing Co.,12th and H sts,LB,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=962,2714,1142,68",0010_5131463.jpg
CALIFORNIA,St. Helena,"Tillman, Dominic F.",,LB,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=676,2832,516,36",0010_5131463.jpg
CALIFORNIA,Salinas,Salinas Brewing Co.,San Juan st.,LB,True,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=672,2862,1512,56",0010_5131463.jpg
CALIFORNIA,San Diego,Mission Brewing Co.,Point Loma Boulevard and Harasthy st,LB,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=672,2916,1426,50",0010_5131463.jpg
CALIFORNIA,San Diego,San Diego Consolidated Brewing Co.,32d st. and Bay Front,ALB,False,False,"https://iiif.nypl.org/iiif/3/5131463/full/!760,760/0/default.jpg#xywh=892,3000,1208,60",0010_5131463.jpg
CALIFORNIA,San Francisco,Acme Brewing Co.,1401 Sansom st.,L B,False,False,"https://iiif.nypl.org/iiif/3/5131464/full/!760,760/0/default.jpg#xywh=0,522,1716,100",0011_5131464.jpg
CALIFORNIA,San Francisco,Albion Ale & Porter Brewery,9th ave. and G st,A B,False,False,"https://iiif.nypl.org/iiif/3/5131464/full/!760,760/0/default.jpg#xywh=504,570,1114,88",0011_5131464.jpg
CALIFORNIA,San Francisco,Anchor Brewing Co.,Hampshire and 18th sts,L,False,False,"https://iiif.nypl.org/iiif/3/5131464/full/!760,760/0/default.jpg#xywh=510,668,1118,78",0011_5131464.jpg
CALIFORNIA,San Francisco,"Broadway Brewing Co., Inc.",Treat ave. and 19th st.,L,False,False,"https://iiif.nypl.org/iiif/3/5131464/full/!760,760/0/default.jpg#xywh=512,762,1130,80",0011_5131464.jpg
CALIFORNIA,San Francisco,"California Brewing Co., Inc.",121 Douglas street.,L,False,False,"https://iiif.nypl.org/iiif/3/5131464/full/!760,760/0/default.jpg#xywh=720,856,914,74",0011_5131464.jpg
CALIFORNIA,San Francisco,"Deter, Conrad B. O.",420 Chestnut street.,L WB,False,False,"https://iiif.nypl.org/iiif/3/5131464/full/!760,760/0/default.jpg#xywh=720,938,922,104",0011_5131464.jpg
CALIFORNIA,San Francisco,"Eagle Brewing Co., Inc.",2213 Harrison street.,L,False,False,"https://iiif.nypl.org/iiif/3/5131464/full/!760,760/0/default.jpg#xywh=0,1316,120,60",0011_5131464.jpg
CALIFORNIA,San Francisco,"Enterprise Brewing Co., Inc.",2019 Folsom st.,ALB,False,False,"https://iiif.nypl.org/iiif/3/5131464/full/!760,760/0/default.jpg#xywh=722,1138,920,72",0011_5131464.jpg
CALIFORNIA,San Francisco,Hagemann Brewing Co.,860 Waller street.,AL,True,False,"https://iiif.nypl.org/iiif/3/5131464/full/!760,760/0/default.jpg#xywh=0,1474,114,54",0011_5131464.jpg
CALIFORNIA,San Francisco,"Jackson Brewing Co., Inc.",11th and Folsom streets.,L,True,False,"https://iiif.nypl.org/iiif/3/5131464/full/!760,760/0/default.jpg#xywh=710,1326,936,76",0011_5131464.jpg
CALIFORNIA,San Francisco,"Milwaukee Brewery of San Francisco, Inc.",468 10th st,LB,False,False,"https://iiif.nypl.org/iiif/3/5131464/full/!760,760/0/default.jpg#xywh=724,1420,924,78",0011_5131464.jpg
CALIFORNIA,San Francisco,"National Brewing Co., Inc.",722 Fulton street,L B,True,False,"https://iiif.nypl.org/iiif/3/5131464/full/!760,760/0/default.jpg#xywh=538,1518,1114,84",0011_5131464.jpg
