state,city,business_name,address,product_codes,is_malt_house,is_new_listing,canvas_fragment,image
ALABAMA,Mobile,Mobile Brewery,Adams and Water sts,LB,False,False,"https://iiif.nypl.org/iiif/3/5131286/full/!760,760/0/default.jpg#xywh=200,2482,1472,78",0013_5131286.jpg
ALABAMA,Montgomery,Capital Brewing & Ice Co.,Hull st,IB,False,False,"https://iiif.nypl.org/iiif/3/5131286/full/!760,760/0/default.jpg",0013_5131286.jpg
ALASKA,Fairbanks,Barthel Brewing Co,,ALB,False,False,"https://iiif.nypl.org/iiif/3/5131286/full/!760,760/0/default.jpg#xywh=186,2692,1548,140",0013_5131286.jpg
ALASKA,Juneau,Eagle Brewing Co,,L,False,False,"https://iiif.nypl.org/iiif/3/5131286/full/!760,760/0/default.jpg",0013_5131286.jpg
ALASKA,Nome,Nome Brewing & Bottling Co,,LB,False,False,"https://iiif.nypl.org/iiif/3/5131286/full/!760,760/0/default.jpg#xywh=186,2782,1544,142",0013_5131286.jpg
ALASKA,Valdez,Valdez Brewing & Bottling Co,,LB,False,False,"https://iiif.nypl.org/iiif/3/5131286/full/!760,760/0/default.jpg",0013_5131286.jpg
ARIZONA,Douglas,"Copper City Brewing Co., Inc",,LB,False,False,"https://iiif.nypl.org/iiif/3/5131286/full/!760,760/0/default.jpg#xywh=186,2962,1538,82",0013_5131286.jpg
ARIZONA,Globe,"Banker, Chas",,LB,True,False,"https://iiif.nypl.org/iiif/3/5131286/full/!760,760/0/default.jpg#xywh=186,3002,1538,92",0013_5131286.jpg
ARIZONA,Prescott,Arizona Brewing Co,,LB,False,False,"https://iiif.nypl.org/iiif/3/5131286/full/!760,760/0/default.jpg#xywh=186,3056,1538,76",0013_5131286.jpg
ARKANSAS,Little Rock,Little Rock Brewing & Ice Co.,2d and Byrd sts.,L B,False,False,"https://iiif.nypl.org/iiif/3/5131287/full/!760,760/0/default.jpg#xywh=682,552,1416,58",0014_5131287.jpg
CALIFORNIA,Alturas,"Werner, William F",,L,True,False,"https://iiif.nypl.org/iiif/3/5131287/full/!760,760/0/default.jpg",0014_5131287.jpg
CALIFORNIA,Anaheim,"Unton Brewing Co., Inc.",,L B,True,False,"https://iiif.nypl.org/iiif/3/5131287/full/!760,760/0/default.jpg#xywh=676,762,1514,114",0014_5131287.jpg
CALIFORNIA,Bakersfield,Bakersfield Brewing Co.,24th st. and Union ave.,L B,False,False,"https://iiif.nypl.org/iiif/3/5131287/full/!760,760/0/default.jpg#xywh=684,860,1418,60",0014_5131287.jpg
CALIFORNIA,Benicia,"Gnauck, Gustave",H street,L B,True,False,"https://iiif.nypl.org/iiif/3/5131287/full/!760,760/0/default.jpg#xywh=678,928,1512,154",0014_5131287.jpg
CALIFORNIA,Bodie,"McKenzie, John J",,L,False,False,"https://iiif.nypl.org/iiif/3/5131287/full/!760,760/0/default.jpg",0014_5131287.jpg
CALIFORNIA,Downieville,"Woessner, John",,L,False,False,"https://iiif.nypl.org/iiif/3/5131287/full/!760,760/0/default.jpg",0014_5131287.jpg
CALIFORNIA,Etna Mills,"Kappler, Chas",,L B,True,False,"https://iiif.nypl.org/iiif/3/5131287/full/!760,760/0/default.jpg",0014_5131287.jpg
CALIFORNIA,Eureka,Humboldt Brewing Co.,405 1st st.,L B,True,False,"https://iiif.nypl.org/iiif/3/5131287/full/!760,760/0/default.jpg#xywh=678,1038,1512,170",0014_5131287.jpg
CALIFORNIA,Fresno,"Fresno Brewing Co., Inc.",,L B,False,False,"https://iiif.nypl.org/iiif/3/5131287/full/!760,760/0/default.jpg#xywh=682,1186,1504,56",0014_5131287.jpg
CALIFORNIA,Grass Valley,"Binkelmann, D. J",,L,False,False,"https://iiif.nypl.org/iiif/3/5131287/full/!760,760/0/default.jpg#xywh=682,1230,1504,62",0014_5131287.jpg
CALIFORNIA,Grass Valley,"Frank, Frederick",,L,False,False,"https://iiif.nypl.org/iiif/3/5131287/full/!760,760/0/default.jpg#xywh=928,1280,1258,54",0014_5131287.jpg
CALIFORNIA,Hollister,Hollister Brewery,,L,True,False,"https://iiif.nypl.org/iiif/3/5131287/full/!760,760/0/default.jpg",0014_5131287.jpg
CALIFORNIA,Independence,"Gehrig, Philip",Market st,L,True,False,"https://iiif.nypl.org/iiif/3/5131287/full/!760,760/0/default.jpg#xywh=674,1320,1514,116",0014_5131287.jpg
CALIFORNIA,Jackson,"Strohm, John",Main st,L B,True,False,"https://iiif.nypl.org/iiif/3/5131287/full/!760,760/0/default.jpg#xywh=674,1410,1510,118",0014_5131287.jpg
