state,city,business_name,address,product_codes,is_malt_house,is_new_listing,canvas_fragment,image
ALABAMA,Mobile,Mobile Brewery,Adams and Water sts,L B,False,False,"https://iiif.nypl.org/iiif/3/5131550/full/!760,760/0/default.jpg#xywh=170,2792,1472,54",0009_5131550.jpg
ALASKA,Fairbanks,Barthel Brewing Co,,A L B,False,False,"https://iiif.nypl.org/iiif/3/5131550/full/!760,760/0/default.jpg#xywh=172,2960,1528,54",0009_5131550.jpg
ALASKA,Juneau,Eagle Brewing Co,,L,False,False,"https://iiif.nypl.org/iiif/3/5131550/full/!760,760/0/default.jpg",0009_5131550.jpg
ALASKA,Nome,Nome Brewing & Bottling Co,,L B,False,False,"https://iiif.nypl.org/iiif/3/5131550/full/!760,760/0/default.jpg#xywh=162,2994,1538,120",0009_5131550.jpg
ALASKA,Valdez,Valdez Brewing & Bottling Co,,L B,False,False,"https://iiif.nypl.org/iiif/3/5131550/full/!760,760/0/default.jpg#xywh=140,3096,1558,52",0009_5131550.jpg
ARIZONA,Douglas,"Copper City Brewing Co., Inc",,L B,False,False,"https://iiif.nypl.org/iiif/3/5131551/full/!760,760/0/default.jpg#xywh=766,544,1506,62",0010_5131551.jpg
ARIZONA,Globe,"Banker, Chas",,L B,True,False,"https://iiif.nypl.org/iiif/3/5131551/full/!760,760/0/default.jpg#xywh=766,604,1508,48",0010_5131551.jpg
CALIFORNIA,Anaheim,"Union Brewing Co., Inc",,L B,True,False,"https://iiif.nypl.org/iiif/3/5131551/full/!760,760/0/default.jpg#xywh=764,764,1510,52",0010_5131551.jpg
CALIFORNIA,Bakersfield,Bakersfield Brewing Co.,24th st. and Union ave,L B,False,False,"https://iiif.nypl.org/iiif/3/5131551/full/!760,760/0/default.jpg#xywh=770,818,1414,50",0010_5131551.jpg
CALIFORNIA,Benicia,"Gnauck, Gustave",H street,L B,True,False,"https://iiif.nypl.org/iiif/3/5131551/full/!760,760/0/default.jpg#xywh=766,916,1504,56",0010_5131551.jpg
CALIFORNIA,Etna Mills,"Kappler, Chas",,L B,True,False,"https://iiif.nypl.org/iiif/3/5131551/full/!760,760/0/default.jpg#xywh=764,970,1510,56",0010_5131551.jpg
